iso3,tour_soc_mean,usage_per_capita_index,gdp_pc,arrivals_pc
IRL,1.04,3.23,112894.953240805,2.0295452565796666
IRQ,1.245,0.24,6073.61032342708,
ISR,0.8049999999999999,3.05,54216.5218142787,0.4903921137349783
ITA,0.84,1.7,40429.6224047352,0.6516919054298171
JOR,1.47,0.64,5073.92103605892,0.1073325810819747
JPN,0.875,1.91,33797.1014287876,0.0331985278324958
KAZ,1.01,0.71,14154.6324958076,0.0988220460670015
KEN,0.8,0.34,2133.46193404026,0.0363085789038402
KGZ,2.87,0.35,2514.81066933171,1.178088549943034
KHM,1.17,0.21,2627.87969756224,0.0740413138058533
KOR,0.77,3.78,36238.639908315,0.0486753267782991
KWT,0.875,0.92,32855.7209688827,0.4412668872388516
LBN,1.14,0.96,4473.27134441128,0.3334503394958493
LKA,0.84,0.56,4545.36006870612,0.0246395327614528
LTU,0.815,2.28,29603.7772588256,0.7907826047215677
LUX,1.12,4.85,137781.681659123,0.775466313743331
LVA,0.93,2.37,23578.9663562625,1.716927706840489
MAR,0.91,0.9,4153.1943359375,0.073579666256604
MDA,1.05,1.45,7578.90216348853,0.0120717344085224
MDG,1.65,0.1,550.37875528856,0.0027248590135434
MEX,0.85,0.63,13988.0423745241,0.3907046199025505
MNG,2.05,1.37,6750.6301157724,0.0189798653212275
MOZ,1.74,0.08,656.976148587772,0.0587033303470576
MUS,1.2,1.74,11990.9355434317,0.2536565474293594
MYS,0.73,0.87,11874.4273684245,0.1218583679533809
NGA,0.87,0.24,1084.16041805058,
NLD,0.91,3.9,67465.3208126875,0.40375724880422
NOR,0.77,4.04,89888.9535204758,0.2507053218261325
NPL,0.895,0.41,1460.28237984149,0.0077568912052839
NZL,0.745,4.84,49432.3626396797,0.1882797731568998
OMN,1.65,0.73,20285.2272765262,0.1645354061638863
PAK,0.72,0.31,1479.47755241191,
PAN,1.34,1.28,19161.218843129,0.1432817998674366
PER,0.835,1.05,8526.29665719783,0.0327022318878732
PHL,0.865,0.44,3985.29464669706,0.0128017353041387
POL,1.05,1.33,25103.565661423,2.421139415041885
PRI,1.015,1.68,39353.2242360643,1.2121700372924955
PRT,0.7250000000000001,3.32,29328.3067415343,0.3934666213980576
PRY,1.24,0.59,6456.60723068562,0.1554302524421094
PSE,1.56,0.43,3028.25481286981,0.0175831588882301
QAT,0.85,1.66,75685.0865779973,0.2036515920165776
ROU,0.7949999999999999,1.37,20080.2096215595,0.2636495735521948
RWA,1.54,0.2,1059.93709298801,0.1146138477797635
SAU,0.97,0.93,35527.786181866,0.5748396330000782
SEN,0.97,0.41,1738.73223822106,
SGP,0.835,5.81,94896.5621495988,0.4542096387857263
SLV,1.42,0.59,5503.10317151907,0.1115459879495622
SRB,0.82,1.31,13677.7794863909,0.0677145107641779
SVK,0.845,1.43,25992.6748502048,
SVN,1.01,2.13,34301.0318686594,0.5715897339475416
SWE,0.86,2.98,57222.7100565003,0.1851517388037835
TGO,1.55,0.22,1266.08777721447,0.0573361891989563
THA,0.855,0.73,7386.63615126055,0.5569569943834496
TTO,1.65,1.05,18733.4110406494,0.1030450920938104
TUN,0.6599999999999999,1.4,4187.64079392362,0.1638822299288863
TUR,0.9,0.64,15892.7157287241,0.1867545610893042
TZA,1.69,0.07,1192.60668945313,0.0222724110739711
UGA,0.96,0.11,1077.91278438613,0.0094571454552157
UKR,0.955,0.78,5391.62255859375,0.0893285857998557
URY,0.935,1.89,24308.4954958447,1.0275829241702858
USA,0.955,3.87,86169.6641581917,0.1324602854361652
UZB,1.4449999999999998,0.3,3337.45492058664,0.1856065719852222
VNM,0.775,0.53,4716.6599379632,0.0379947313576429
ZAF,0.745,0.46,6267.186814093,0.0607213077127768
ZMB,1.36,0.15,1187.10943350064,0.0235515381781693
ZWE,1.18,0.2,2496.15514995576,0.0384144325728417
